CreateTraining: width:20,height:20,type:RGB 
Input: image:slika0.jpg, identity:angel 
Input: image:slika1.jpg, identity:angel 
Input: image:slika2.jpg, identity:angel 
Input: image:slika3.jpg, identity:angel
Input: image:slika4.jpg, identity:angel
Input: image:slika5.jpg, identity:angel
Input: image:slika6.jpg, identity:angel
Input: image:slika7.jpg, identity:cold 
Input: image:slika8.jpg, identity:cold 
Input: image:slika9.jpg, identity:cold 
Input: image:slika10.jpg, identity:cold
Input: image:slika11.jpg, identity:cold
Input: image:slika12.jpg, identity:cold
Input: image:slika13.jpg, identity:cold
Input: image:slika14.jpg, identity:cryinglaughter 
Input: image:slika15.jpg, identity:cryinglaughter 
Input: image:slika16.jpg, identity:cryinglaughter 
Input: image:slika17.jpg, identity:cryinglaughter
Input: image:slika18.jpg, identity:cryinglaughter
Input: image:slika19.jpg, identity:cryinglaughter
Input: image:slika20.jpg, identity:cryinglaughter
Input: image:slika21.jpg, identity:grimace 
Input: image:slika22.jpg, identity:grimace 
Input: image:slika23.jpg, identity:grimace 
Input: image:slika24.jpg, identity:grimace
Input: image:slika25.jpg, identity:grimace
Input: image:slika26.jpg, identity:grimace
Input: image:slika27.jpg, identity:grimace
Input: image:slika28.jpg, identity:happy 
Input: image:slika29.jpg, identity:happy 
Input: image:slika30.jpg, identity:happy 
Input: image:slika31.jpg, identity:happy
Input: image:slika32.jpg, identity:happy
Input: image:slika33.jpg, identity:happy
Input: image:slika34.jpg, identity:happy
Input: image:slika35.jpg, identity:star 
Input: image:slika36.jpg, identity:star 
Input: image:slika37.jpg, identity:star 
Input: image:slika38.jpg, identity:star
Input: image:slika39.jpg, identity:star
Input: image:slika40.jpg, identity:star
Input: image:slika41.jpg, identity:star
Input: image:slika42.jpg, identity:sunglasses 
Input: image:slika43.jpg, identity:sunglasses 
Input: image:slika44.jpg, identity:sunglasses 
Input: image:slika45.jpg, identity:sunglasses
Input: image:slika46.jpg, identity:sunglasses
Input: image:slika47.jpg, identity:sunglasses
Input: image:slika48.jpg, identity:sunglasses
Network: hidden1:75, hidden2:35
Train: Mode:console, Minutes:1, StrategyError:0.25, StrategyCycles:50
